"IDitin","IDesp","Any","Date","Nindiv","longitud","LAT","LNG"
"1","piepra","2007","5/6/2007",75,4296,42.2191481799,3.09380865436
"1","piepra","1999","16/4/1999",20,4296,42.2191481799,3.09380865436
"1","piepra","2000","23/6/2000",22,4296,42.2191481799,3.09380865436
"1","piepra","2015","10/6/2015",43,4296,42.2191481799,3.09380865436
"1","piepra","1994","26/7/1994",50,4296,42.2191481799,3.09380865436
"1","piepra","2002","16/4/2002",17,4296,42.2191481799,3.09380865436
"1","piepra","2006","24/3/2006",5,4296,42.2191481799,3.09380865436
"1","piepra","2008","11/7/2008",54,4296,42.2191481799,3.09380865436
"1","piepra","2015","7/4/2015",6,4296,42.2191481799,3.09380865436
"1","piepra","1996","29/3/1996",6,4296,42.2191481799,3.09380865436
"1","piepra","1999","9/7/1999",83,4296,42.2191481799,3.09380865436
"1","piepra","2011","23/8/2011",13,4296,42.2191481799,3.09380865436
"1","piepra","2012","23/7/2012",38,4296,42.2191481799,3.09380865436
"1","piepra","2001","2/7/2001",96,4296,42.2191481799,3.09380865436
"1","piepra","2022","22/9/2022",10,4296,42.2191481799,3.09380865436
"1","piepra","2016","13/8/2016",2,4296,42.2191481799,3.09380865436
"1","piepra","2014","1/5/2014",8,4296,42.2191481799,3.09380865436
"1","piepra","2007","19/6/2007",84,4296,42.2191481799,3.09380865436
"1","piepra","2001","9/7/2001",50,4296,42.2191481799,3.09380865436
"1","piepra","2013","9/9/2013",4,4296,42.2191481799,3.09380865436
"1","piepra","2001","12/6/2001",32,4296,42.2191481799,3.09380865436
"1","piepra","2002","22/3/2002",10,4296,42.2191481799,3.09380865436
"1","piepra","2011","24/3/2011",27,4296,42.2191481799,3.09380865436
"1","piepra","2015","1/5/2015",1,4296,42.2191481799,3.09380865436
"1","piepra","2000","26/5/2000",19,4296,42.2191481799,3.09380865436
"1","piepra","2000","4/4/2000",16,4296,42.2191481799,3.09380865436
"1","piepra","1996","15/8/1996",3,4296,42.2191481799,3.09380865436
"1","piepra","1998","6/11/1998",7,4296,42.2191481799,3.09380865436
"1","piepra","1988","21/6/1988",42,4296,42.2191481799,3.09380865436
"1","piepra","2001","15/6/2001",26,4296,42.2191481799,3.09380865436
"1","piepra","1999","24/8/1999",8,4296,42.2191481799,3.09380865436
"1","piepra","2008","19/6/2008",12,4296,42.2191481799,3.09380865436
"1","piepra","2014","6/4/2014",16,4296,42.2191481799,3.09380865436
"1","piepra","2016","6/5/2016",13,4296,42.2191481799,3.09380865436
"1","piepra","1994","13/4/1994",1,4296,42.2191481799,3.09380865436
"1","piepra","2020","5/5/2020",32,4296,42.2191481799,3.09380865436
"1","piepra","2018","8/9/2018",6,4296,42.2191481799,3.09380865436
"1","piepra","2020","13/8/2020",6,4296,42.2191481799,3.09380865436
"1","piepra","1996","2/5/1996",6,4296,42.2191481799,3.09380865436
"1","piepra","2000","16/6/2000",39,4296,42.2191481799,3.09380865436
"1","piepra","1998","17/7/1998",14,4296,42.2191481799,3.09380865436
"1","piepra","2021","27/7/2021",12,4296,42.2191481799,3.09380865436
"1","piepra","2021","25/6/2021",46,4296,42.2191481799,3.09380865436
"1","piepra","2017","17/5/2017",36,4296,42.2191481799,3.09380865436
"1","piepra","2008","18/8/2008",13,4296,42.2191481799,3.09380865436
"1","piepra","1998","31/7/1998",24,4296,42.2191481799,3.09380865436
"1","piepra","2009","7/8/2009",3,4296,42.2191481799,3.09380865436
"1","piepra","2005","30/6/2005",91,4296,42.2191481799,3.09380865436
"1","piepra","2006","15/6/2006",56,4296,42.2191481799,3.09380865436
"1","piepra","1993","12/8/1993",3,4296,42.2191481799,3.09380865436
"1","piepra","2000","17/7/2000",34,4296,42.2191481799,3.09380865436
"1","piepra","2000","31/7/2000",16,4296,42.2191481799,3.09380865436
"1","piepra","2003","4/7/2003",37,4296,42.2191481799,3.09380865436
"1","piepra","2004","21/9/2004",9,4296,42.2191481799,3.09380865436
"1","piepra","1988","27/8/1988",5,4296,42.2191481799,3.09380865436
"1","piepra","2021","14/7/2021",38,4296,42.2191481799,3.09380865436
"1","piepra","2002","13/5/2002",2,4296,42.2191481799,3.09380865436
"1","piepra","2006","30/6/2006",47,4296,42.2191481799,3.09380865436
"1","piepra","2002","31/7/2002",47,4296,42.2191481799,3.09380865436
"1","piepra","2007","21/9/2007",2,4296,42.2191481799,3.09380865436
"1","piepra","1997","28/7/1997",23,4296,42.2191481799,3.09380865436
"1","piepra","1996","27/8/1996",3,4296,42.2191481799,3.09380865436
"1","piepra","1988","5/6/1988",49,4296,42.2191481799,3.09380865436
"1","piepra","2002","29/8/2002",8,4296,42.2191481799,3.09380865436
